dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities,url
Cooperstown Distillery,,,,"11 Railroad Ave, Cooperstown, New York, 13326",42.699482,-74.931889,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cooperstown-distillery/
ChainBridge Distillery,,,,"3500 NE 11th Ave, Oakland Park, Florida, 33334",26.171545,-80.132174,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chainbridge-distillery/
Cantilever Distillery + Hotel,,,,"2078 Spruce Street, Ranier, Minnesota, 56668",48.614595,-93.348418,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cantilever-distillery-hotel/
Butler Creek Distilling,,,,"4937 Hwy 187, Eureka Springs, Arkansas, 72631",36.426458,-93.785202,,,,,,DSP-AR-20013,,https://www.distillerytrail.com/directory-distillery/listing/butler-creek-distilling/
Burlock and Barrel Distillery,,,,"417 Magnolia St, Jacksonville, Florida, 32204",30.321504,-81.675478,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/burlock-and-barrel-distillery/
Company Rum Farm,,,,"59 Kohala Mountain Rd, Waimea, Hawaii, 96743",20.116963,-155.788606,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/company-rum/
Casa Maestri,,,,"México 15 102, Santa Cruz de Los Espinos, Jalisco, 46403",20.879191,-103.824348,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/casa-maestri/
Burwood Distillery,,,,"2566 Flanders Ave SW Suite 100, Calgary, Alberta, T3E 7H9",51.017155,-114.122464,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/burwood-distillery/
Clear Creek Distillery,,,,"304 Oak St., Suite 3, Hood River, Oregon, 97031",45.709123,-121.513631,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/clear-creek-distillery/
Castle & Key Distillery,,,,"4445 McCracken Pike, Frankfort, Kentucky, 40601",38.14764,-84.832728,,,,,,DSP-KY-18,[''],https://www.distillerytrail.com/directory-distillery/listing/castle-key-distillery/
Buffalo Bayou Distilleries,,,,"1200 West Walker Tunnel, Houston, Texas, 77002",29.760427,-95.369803,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/buffalo-bayou-distilleries/
Claremont Distilled Spirits,,,,"25 Commerce Road, Fairfield, New Jersey, 07004",40.870683,-74.321537,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/claremont-distilled-spirits/
Clonakilty Distillery,,,,"The Waterfront, Scartagh, Clonakilty, Co. Cork, P85 EW82",51.621473,-8.886321,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/clonakilty-distillery/
"Chankaska Creek Ranch, Winery & Distillery",,,,"1179 East Pearl Street, Kasota, Minnesota, 56050",44.289696,-93.95089,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chankaska-creek-ranch-winery/
Chambers Bay Distillery,,,,"2534 Grandview Drive West, University Place, Washington, 98466",47.235654,-122.550404,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chambers-bay-distillery/
Castle Spirits Distillery,,,,"1249 NW 4th St, Oklahoma City, Oklahoma, 73106",35.472436,-97.53399,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/castle-spirits-distillery/
Cooper River Distillers (Closed),,,,"34 N. 4th St., Camden, New Jersey, 08104",39.945477,-75.122299,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cooper-river-distillers/
Copper Still Distillery,,,,"1600 W Acoma Blvd Ste65, Lake Havasu City, Arizona, 86403",34.495504,-114.353354,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-still-distillery/
Connecticut Distilling,,,,"2066 Thomaston Ave, Waterbury, Connecticut, 06704",41.597583,-73.056362,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/connecticut-distilling/
Buffalo Trace Distillery,,,,"113 Great Buffalo Trace, Frankfort, Kentucky, 40601",38.216764,-84.870557,,,,,,DSP-KY-113,[''],https://www.distillerytrail.com/directory-distillery/listing/buffalo-trace-distillery/
Cold River Vodka,,,,"76 Main Street, Freeport, Maine, 4032",43.857007,-70.10312,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cold-river-vodka/
Brothers Vilgalys Spirits Company,,,,"803 Ramseur St, Durham, North Carolina, 27701",0,0,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/brothers-vilgalys-spirits-company/
Cirrus Vodka,,,,"701 East Grace Street, Richmond, Virginia, 23219",37.540725,-77.436048,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cirrus-vodka/
Chase Distillery,,,,"Rosemaund Farm, Hereford, Herefordshire, England, HR1 3PG",52.128701,-2.63765,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/chase-distillery/
Bunnahabhain Distillery,,,,"Argyll, Scotland, PA49 7UN",55.775741,-6.359758,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/bunnahabhain-distillery/
Broken Arrow Spirits,,,,"15353 E Hinsdale Cir suite C, Centennial, Colorado, 80112",39.582268,-104.810016,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/broken-arrow-spirits/
Bruinwood Estate Distillery,,,,"2040 Porter Road Roberts Creek, Roberts Creek, British Columbia, V0N 2W5",49.416635,-123.5829,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/bruinwood-estate-distillery/
Cali Shine Distillery Co.,,,,"Olivehurst, California",39.095448,-121.552186,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cali-shine-distillery-co/
Clynelish Distillery,,,,"Clynelish Rd, Brora, Scotland, KW9 6LR",58.012157,-3.852548,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/clynelish-distillery/
Cooper King Distillery,,,,"The Old Stable, Stillington Road, Sutton-on-the-Forest, York, England, YO61 1EH",54.083873,-1.110235,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cooper-king-distillery/
Central Standard Craft Distillery,,,,"2330 E Clybourn St (Not open to the Public), Milwaukee, Wisconsin, 53202",43.036454,-87.903949,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/central-standard-craft-distillery/
Bull Run Distilling,,,,"2259 NW Quimby St, Portland, Oregon, 97210",45.533648,-122.698038,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/bull-run-distilling/
Camp 1805 Distillery,,,,"501 Portway Ave #102, Hood River, Oregon, 97031",45.714664,-121.51565,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/camp-1805-distillery/
Coastal Bend Distilling Co.,,,,"201 North Madison Ave., Beeville, Texas, 78102",28.401139,-97.750151,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/coastal-bend-distilling-co/
Colorado Distillers Guild,Colorado,Denver,Associations / Guilds,"1451 Bannock Street, Denver, Colorado, 80202",39.739236,-104.990251,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/colorado-distillers-guild/
Cooper's Chase Distillery,,,,"584 18th Rd, West Point, Nebraska, 68788",41.812862,-96.690504,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/coopers-chase-distillery/
Cadee Distillery,,,,"8825 Washington 525, Clinton, Washington, 98236",47.978428,-122.355696,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cadee-distillery/
Coastal Spirits,,,,"San Carlos, California",37.507159,-122.260522,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/coastal-spirits/
